abandon	оставить
approach	подход
appropriate	подходящий
approval	утверждение
approve	одобрить
approximately	примерно
April	Апрель
architect	архитектор
architecture	архитектура
area	область
argue	спорить
argument	аргумент
arise	возникать
arm	рука
armed	вооруженный
arms	руки
army	армия
around	вокруг
arrange	организовать
arrangement	расположение
arrest	арестовывать
arrival	прибытие
arrive	прибывать
art	искусство
article	статья
artificial	искусственный
artist	художник
artistic	художественный
as	как
ashamed	пристыженный
asleep	спящий
ask	спрашивать
aspect	аспект
assess	оценивать
assessment	оценка
assignment	назначение
assist	помогать
assistant	помощник
associate	связывать
associated	связанный
association	ассоциация
assume	предполагать
at	около
athlete	спортсмен
atmosphere	атмосфера
attach	прикреплять
attack	атака
attempt	попытка
attend	посещать
attention	внимание
attitude	отношение
attract	привлекать
attraction	привлекательность
attractive	привлекательный
audience	аудитория
August	Август
aunt	тетя
author	автор
authority	власть
autumn	осень
available	доступный
average	средний
avoid	избегать
award	награда
aware	осведомленный
away	прочь
awful	ужасный
baby	младенец
back	назад
background	фон
backwards	назад
bacteria	бактерия
bad	плохой
badly	плохо
bag	сумка
bake	печь
balance	баланс
ball	мяч
ban	бан
banana	банан
band	группа
bank	банк
bank	берег
bar	бар
barrier	барьер
base	база
baseball	бейсбол
based	основывающийся
basketball	баскетбол
basic	основной
basically	в основном
basis	основа
bath	ванна
bathroom	ванная
battery	батарея
battle	битва
be	быть
beach	пляж
bean	боб
bear	медведь
bear	носить
beat	бить
beautiful	красивый
beauty	красота
because	потому что
become	становиться
bed	кровать
bedroom	спальня
bee	пчела
beef	говядина
beer	пиво
before	до
beg	умолять
begin	начать
beginning	начало
behave	вести себя
behaviour	поведение
behind	позади
being	существование
belief	вера
believe	верить
bell	колокол
belong	принадлежать
below	ниже
belt	пояс
bend	изгиб
benefit	выгода
bent	изогнутый
best	лучший
bet	ставка
better	лучше
between	между
beyond	за
bicycle	велосипед
big	большой
bike	велосипед
bill	законопроект
billion	миллиард
bin	мусорное ведро
biology	биология
bird	птица
birth	рождение
birthday	день рождения
biscuit	печенье
bit	немного
bite	кусать
bitter	горький
black	черный
blame	вина
blank	пустой
blind	слепой
block	блок
blog	блог
blonde	блондин
blood	кровь
blow	дуть
blue	синий
board	доска
boat	лодка
body	тело
boil	варить
bomb	бомба
bond	связь
bone	кость
book	книга
boot	ботинок
border	граница
bored	скучающий
boring	скучный
born	рожденный
borrow	одолжить
boss	босс
both	оба
bother	беспокоить
bottle	бутылка
bottom	дно
bowl	чаша
box	коробка
boy	мальчик
boyfriend	парень
brain	мозг
branch	ветка
brand	марка
brave	храбрый
bread	хлеб
break	перерыв
breakfast	завтрак
breast	грудь
breath	дыхание
breathe	дышать
breathing	дыхание
bride	невеста
bridge	мост
brief	краткий
bright	яркий
brilliant	блестящий
bring	приносить
broad	широкий
broadcast	телепередача
broken	сломанный
brother	брат
brown	коричневый
brush	щетка
bubble	пузырь
budget	бюджет
build	строить
building	здание
bullet	пуля
bunch	кучка
burn	жечь
bury	закапывать
bus	автобус
bush	куст
business	бизнес
businessman	бизнесмен
busy	занятый
but	но
butter	сливочное масло
button	кнопка
buy	покупать
by	около
bye	пока
cable	кабель
cafe	кафе
cake	торт
calculate	вычислять
call	вызов
calm	спокойный
camera	камера
camp	лагерь
campaign	кампания
camping	кемпинг
campus	кампус
can	мочь
can	жестяная банка
cancel	отменять
cancer	рак
candidate	кандидат
cannot	не могу
cap	шапка
capable	способный
capacity	вместимость
capital	столица
captain	капитан
capture	захватить
car	машина
card	карта
care	забота
career	карьера
careful	осторожный
carefully	внимательно
careless	беспечный
carpet	ковер
carrot	морковь
carry	нести
cartoon	мультфильм
case	дело
cash	наличные
cast	бросать
castle	замок
cat	кошка
catch	ловить
category	категория
cause	причина
CD	КОМПАКТ-ДИСК
ceiling	потолок
celebrate	праздновать
celebration	празднование
celebrity	знаменитость
cell	ячейка
cent	цент
central	центральный
centre	центр
century	век
ceremony	церемония
certain	определенный
certainly	конечно
chain	цепь
chair	стул
chairman	председатель
challenge	вызов
champion	чемпион
chance	шанс
change	менять
channel	канал
chapter	глава
character	характер
characteristic	характеристика
charge	заряжать
charity	благотворительность
chart	диаграмма
chat	болтать
cheap	дешевый
cheat	обманывать
check	проверять
chef	шеф-повар
cheerful	веселый
cheese	сыр
chemical	химический
chemistry	химия
chest	грудь
chicken	курица
chief	главный
child	ребенок
childhood	детство
chip	чип
chocolate	шоколад
choice	выбор
choose	выбирать
church	церковь
cigarette	сигарета
cinema	кинотеатр
circle	круг
circumstance	обстоятельство
cite	цитировать
citizen	гражданин
city	город
civil	гражданский
claim	претензия
class	класс
classic	классический
classical	классический
classroom	класс
clause	пункт
clean	чистый
clear	понятно
clearly	ясно
clever	умный
click	щелчок
client	клиент
climate	климат
climb	взбираться
clock	часы
close	близко
close	близкий
close	закрывать
closed	закрытый
closely	тесно
cloth	ткань
clothes	одежда
clothing	одежда
cloud	облако
club	клуб
clue	ключ
coach	тренер
coal	уголь
coast	побережье
coat	пальто
code	код
coffee	кофе
coin	монета
cold	холодный
collapse	коллапс
colleague	коллега
collect	собирать
collection	коллекция
college	колледж
colour	цвет
coloured	цветной
column	колонка
combination	сочетание
combine	объединять
come	приходить
comedy	комедия
comfort	комфорт
comfortable	удобный
command	команда
comment	комментарий
commercial	коммерческий
commission	комиссия
commit	совершить
commitment	обязательство
committee	комитет
common	общий
commonly	обычно
communicate	общаться
communication	связь
community	сообщество
company	компания
compare	сравнивать
comparison	сравнение
compete	конкурировать
competition	соревнование
competitor	конкурент
competitive	конкурентный
complain	жаловаться
complaint	жалоба
complete	полный
completely	полностью
complex	сложный
complicated	сложный
component	компонент
computer	компьютер
concentrate	концентрат
concentration	сосредоточенность
concept	концепция
concern	беспокойство
concerned	обеспокоенный
concert	концерт
conclude	заключать
conclusion	заключение
condition	состояние
conduct	провести
conference	конференция
confidence	уверенность
confident	уверенный
confirm	подтверждать
conflict	конфликт
confuse	смущать
confused	смущенный
confusing	запутанным
connect	соединять
connected	связанный
connection	соединение
conscious	сознательный
consequence	последствие
conservative	консервативный
consider	рассматривать
consideration	рассмотрение
consist	состоять
consistent	последовательный
constant	постоянный
constantly	постоянно
construct	сооружать
construction	строительство
consume	потреблять
consumer	потребитель
contact	контакт
contain	содержать
container	контейнер
contemporary	современный
content	содержание
contest	соревнование
context	контекст
continent	континент
continue	продолжить
continuous	непрерывный
contract	контракт
contrast	контраст
contribute	способствовать
contribution	вклад
control	контроль
convenient	удобный
conversation	разговор
convert	преобразовать
convince	убеждать
convinced	убежденный
cook	готовить
cooker	кухонная плита
cooking	приготовление еды
cool	крутой
copy	копировать
core	ядро
corner	угол
corporate	корпоративный
correct	правильный
correctly	правильно
cost	стоимость
costume	костюм
cottage	коттедж
cotton	хлопок
could	мог
council	совет
count	считать
country	страна
countryside	сельская местность
county	округ
couple	пара
courage	мужество
course	курс
court	суд
cousin	двоюродный брат
cover	покрытие
covered	покрытый
cow	корова
crash	авария
crazy	сумасшедший
cream	крем
create	творить
creation	создание
creative	творческий
creature	существо
credit	кредит
crew	экипаж
crime	преступление
criminal	преступный
crisis	кризис
criterion	критерий
critic	критик
critical	критический
criticism	критика
criticize	критиковать
crop	урожай
cross	пересекать
crowd	толпа
crowded	переполненный
crucial	ключевой
cruel	жестокий
cry	плакать
cultural	культурный
culture	культура
cup	чашка
cupboard	буфет
cure	лечение
curly	кудрявый
currency	валюта
current	текущий
currently	в настоящий момент
curtain	занавес
curve	кривая
curved	изогнутый
custom	традиция
customer	покупатель
cut	резать
cycle	цикл
dad	папа
daily	ежедневный
damage	повреждение
dance	танец
dancer	танцор
dancing	танцы
danger	опасность
dangerous	опасный
dark	темный
data	данные
date	дата
daughter	дочь
day	день
dead	мертвый
deal	сделка
dear	дорогой
death	смерть
debate	дискуссия
debt	долг
decade	десятилетие
December	Декабрь
decent	порядочный
decide	решать
decision	решение
declare	объявлять
decline	снижение
decorate	украшать
decoration	украшение
decrease	уменьшать
deep	глубокий
deeply	глубоко
defeat	поражение
defence	защита
defend	защищать
define	определять
definite	определенный
definitely	определенно
definition	определение
degree	степень
delay	задержка
deliberate	преднамеренный
deliberately	намеренно
delicious	вкусный
delight	восторг
delighted	восхищенный
deliver	доставлять
delivery	доставка
demand	требование
demonstrate	демонстрировать
dentist	стоматолог
deny	отрицать
department	отдел
departure	отправление
depend	зависеть
depressed	подавленный
depressing	унылый
depth	глубина
describe	описывать
description	описание
desert	пустыня
deserve	заслуживать
design	дизайн
designer	дизайнер
desire	желание
desk	письменный стол
desperate	отчаянный
despite	несмотря на
destination	место назначения
destroy	уничтожать
detail	деталь
detailed	подробный
detect	обнаружить
detective	детектив
determine	определять
determined	определенный
develop	развивать
development	развитие
device	устройство
diagram	диаграмма
dialogue	диалог
diamond	бриллиант
diary	дневник
dictionary	словарь
die	умирать
diet	диета
difference	разница
different	различный
differently	иначе
difficult	трудный
difficulty	трудность
dig	копать
digital	цифровой
dinner	обед
direct	прямой
direction	направление
directly	непосредственно
director	директор
dirt	грязь
dirty	грязный
disadvantage	недостаток
disagree	не соглашаться
disappear	исчезнуть
disappointed	разочарованный
disappointing	разочаровывающий
disaster	катастрофа
disc	диск
discipline	дисциплина
discount	скидка
discover	обнаруживать
discovery	открытие
discuss	обсуждать
discussion	обсуждение
disease	болезнь
dish	блюдо
dishonest	нечестный
dislike	неприязнь
dismiss	отклонять
display	дисплей
distance	расстояние
distribute	распространять
distribution	распределение
district	район
divide	делить
division	деление
divorced	разведенный
do	делать
doctor	врач
document	документ
documentary	документальное кино
dog	собака
dollar	доллар
domestic	внутренний
dominate	доминировать
donate	жертвовать
door	дверь
double	двойной
doubt	сомнение
down	вниз
download	скачать
downstairs	внизу
downwards	вниз
dozen	дюжина
draft	проект
drag	тащить
drama	драма
dramatic	драматичный
draw	рисовать
drawing	рисунок
dream	мечта
dress	платье
dressed	одетый
drink	пить
drive	водить
driver	водитель
driving	вождение
drop	капля
drug	медикамент
drum	барабан
drunk	пьяный
dry	сухой
due	надлежащий
during	в течение
dust	пыль
duty	обязанность
DVD	DVD
each	каждый
ear	ухо
early	ранний
earn	зарабатывать
earth	земля
earthquake	землетрясение
easily	легко
east	восток
eastern	восточный
easy	простой
eat	есть
economic	экономика
economy	экономика
edge	край
edit	редактировать
edition	издание
editor	редактор
educate	обучать
educated	образованный
education	образование
educational	образовательный
effect	эффект
effective	эффективный
effectively	эффективно
efficient	эффективный
effort	усилие
egg	яйцо
eight	восемь
eighteen	восемнадцать
eighty	восемьдесят
either	любой
elderly	пожилой
elect	избирать
election	выборы
electric	электрический
electrical	электрический
electricity	электричество
electronic	электронный
element	элемент
elephant	слон
eleven	одиннадцать
else	ещё
elsewhere	в другом месте
email	электронная почта
embarrassed	смущенный
embarrassing	смущающий
emerge	всплывать
emergency	чрезвычайная ситуация
emotion	эмоция
emotional	эмоциональный
emphasis	акцент
emphasize	подчеркивать
employ	использовать
employee	работник
employer	работодатель
employment	трудоустройство
empty	пустой
enable	включить
encounter	столкновение
encourage	поощрять
end	конец
ending	окончание
enemy	враг
energy	энергия
engage	вовлекать
engaged	обрученный
engine	двигатель
engineer	инженер
engineering	инженерное искусство
enhance	усилить
enjoy	наслаждаться
enormous	огромный
enough	достаточно
enquiry	запрос
ensure	гарантировать
enter	входить
entertain	развлекать
entertainment	развлечение
enthusiasm	энтузиазм
enthusiastic	восторженный
entire	весь
entirely	полностью
entrance	вход
entry	вход
environment	окружающая среда
environmental	экологический
episode	эпизод
equal	равный
equally	поровну
equipment	оборудование
error	ошибка
escape	побег
especially	особенно
essay	сочинение
essential	существенный
establish	установить
estate	имущество
estimate	оценивать
ethical	этический
euro	евро
evaluate	оценивать
even	даже
evening	вечер
event	событие
eventually	в итоге
ever	когда-либо
every	каждый
everybody	все
everyday	ежедневный
everyone	каждый
everything	всё
everywhere	везде
evidence	доказательства
evil	зло
exact	точный
exactly	именно так
exam	экзамен
examination	проверка
examine	исследовать
example	пример
excellent	отлично
except	кроме
exchange	обмен
excited	взволнованный
excitement	волнение
exciting	захватывающий
excuse	оправдание
executive	исполнительный
exercise	упражнение
exhibition	выставка
exist	существовать
existence	существование
expand	расширять
expect	ожидать
expectation	ожидание
expected	ожидаемый
expedition	экспедиция
expense	расход
expensive	дорогой
experience	опыт
experienced	опытный
experiment	эксперимент
expert	эксперт
explain	объяснять
explanation	объяснение
explode	взрывать
exploration	исследование
explore	исследовать
explosion	взрыв
export	экспорт
expose	разоблачать
express	экспресс
expression	выражение
extend	расширять
extent	степень
external	внешний
extra	дополнительный
extraordinary	необычный
extreme	экстремальный
extremely	чрезвычайно
eye	глаз
face	лицо
facility	объект
fact	факт
factor	фактор
factory	завод
fail	потерпеть неудачу
failure	неудача
fair	справедливый
fairly	довольно
faith	вера
fall	падать
false	ложный
familiar	знакомый
family	семья
famous	известный
fan	вентилятор
fancy	маскарадный
fantastic	фантастический
far	далеко
farm	ферма
farmer	фермер
farming	сельское хозяйство
fascinating	очаровательный
fashion	мода
fashionable	модный
fast	быстрый
fasten	скрепить
fat	жир
father	отец
fault	ошибка
favour	одолжение
favourite	любимый
fear	страх
feather	перо
feature	особенность
February	Февраль
fee	взнос
feed	кормить
feedback	обратная связь
feel	чувствовать
feeling	чувство
fellow	товарищ
female	женский
fence	забор
festival	фестиваль
few	несколько
fiction	вымысел
field	поле
fifteen	пятнадцать
fifth	пятый
fifty	пятьдесят
fight	битва
fighting	драка
figure	фигура
file	файл
fill	заполнять
film	фильм
final	окончательный
finally	наконец
finance	финансы
financial	финансовый
find	находить
finding	обнаружение
fine	хорошо
finger	палец
finish	заканчивать
fire	огонь
firm	твердый
first	первый
firstly	во-первых
fish	рыба
fishing	рыбная ловля
fit	подходить
fitness	фитнес
five	пять
fix	исправить
fixed	исправлено
flag	флаг
flame	пламя
flash	вспышка
flat	квартира
flexible	гибкий
flight	полет
float	плыть
flood	наводнение
floor	этаж
flour	мука
flow	поток
flower	цветок
flu	грипп
fly	летать
flying	летающий
focus	сосредоточить
fold	сгибать
folding	складной
folk	народ
follow	следовать
following	следующий
food	еда
foot	нога
football	футбол
for	для
force	сила
foreign	иностранный
forest	лес
forever	навсегда
forget	забывать
forgive	прощать
fork	вилка
form	форма
formal	формальный
former	бывший
fortunately	к счастью
fortune	состояние
forty	сорок
forward	вперед
found	нашел
four	четыре
fourteen	четырнадцать
fourth	четвёртый
frame	рамка
free	свободный
freedom	свобода
freeze	замерзать
frequency	частота
frequently	часто
fresh	свежий
Friday	Пятница
fridge	холодильник
friend	друг
friendly	дружелюбный
friendship	дружба
frighten	пугать
frightened	испуганный
frightening	пугающий
frog	лягушка
from	от
front	фасад
frozen	замороженный
fruit	фрукты
fry	жарить
fuel	топливо
full	полный
fully	полностью
fun	веселье
function	функция
fund	фонд
fundamental	основополагающий
funding	финансирование
funny	забавный
fur	мех
furniture	мебель
further	дальнейший
furthermore	более того
future	будущее
gain	получать
gallery	галерея
game	игра
gang	банда
gap	пробел
garage	гараж
garden	сад
gas	газ
gate	ворота
gather	собирать
general	главный
generally	обычно
generate	генерировать
generation	поколение
generous	щедрый
genre	жанр
gentle	нежный
gentleman	джентльмен
geography	география
get	получить
ghost	привидение
giant	гигантский
gift	подарок
girl	девочка
girlfriend	девушка
give	дать
glad	радостный
glass	стекло
global	глобальный
glove	перчатка
go	идти
goal	цель
god	бог
gold	золото
golf	гольф
good	хороший
goodbye	до свидания
goods	товары
govern	править
government	правительство
grab	захватывать
grade	класс
gradually	постепенно
graduate	выпускник
grain	зерно
grand	великий
grandfather	дедушка
grandmother	бабушка
grandparent	бабушка или дедушка
grant	грант
grass	трава
grateful	благодарный
great	отличный
green	зеленый
greet	приветствовать
grey	серый
ground	земля
group	группа
grow	расти
growth	рост
guarantee	гарантия
guard	охрана
guess	догадываться
guest	гость
guide	руководство
guilty	виновный
guitar	гитара
gun	пушка
guy	парень
gym	тренажерный зал
habit	привычка
hair	волосы
half	половина
hall	зал
hand	рука
handle	справляться
hang	вешать
happen	случаться
happily	счастливо
happiness	счастье
happy	счастливый
hard	трудный
hardly	едва
harm	вред
harmful	вредный
hat	шляпа
hate	ненавидеть
have	иметь
have to	должен
he	он
head	голова
headache	головная боль
headline	заголовок
health	здоровье
healthy	здоровый
hear	слышать
hearing	слышащий
heart	сердце
heat	жара
heating	отопление
heaven	небо
heavily	тяжело
heavy	тяжелый
heel	каблук
height	высота
helicopter	вертолет
hell	ад
hello	привет
help	помощь
helpful	полезный
her	ее
here	здесь
hero	герой
hers	ее
herself	сама
hesitate	колебаться
hey	эй
hi	привет
hide	прятать
high	высокий
highlight	выделить
highly	высоко
hill	холм
him	его
himself	себя
hire	нанимать
his	его
historic	исторический
historical	исторический
history	история
hit	ударить
hobby	хобби
hockey	хоккей
hold	держать
hole	отверстие
holiday	праздник
hollow	полый
holy	святой
home	дом
homework	домашнее задание
honest	честный
honour	честь
hope	надеяться
horrible	ужасный
horror	ужас
horse	лошадь
hospital	больница
host	хозяин
hot	горячий
hotel	отель
hour	час
house	дом
household	домашнее хозяйство
housing	жилье
how	как
however	однако
huge	огромный
human	человек
humorous	юмористический
humour	юмор
hundred	сто
hungry	голодный
hunt	охота
hunting	охота
hurricane	ураган
hurry	торопиться
hurt	ранить
husband	муж
I	Я
ice	лед
ice cream	мороженое
idea	идея
ideal	идеальный
identify	идентифицировать
identity	идентичность
if	если
ignore	игнорировать
ill	больной
illegal	незаконный
illness	болезнь
illustrate	иллюстрировать
illustration	иллюстрация
image	изображение
imaginary	воображаемый
imagination	воображение
imagine	воображать
immediate	немедленный
immediately	немедленно
immigrant	иммигрант
impact	влияние
impatient	нетерпеливый
imply	подразумевать
import	импортировать
importance	важность
important	важный
impose	облагать
impossible	невозможно
impress	впечатление
impressed	впечатленный
impression	впечатление
impressive	впечатляющий
improve	улучшать
improvement	улучшение
in	в
inch	дюйм
incident	инцидент
include	включать
included	включенный
including	включая
income	доход
increase	увеличение
increasingly	усиливающийся
incredible	невероятный
incredibly	невероятно
indeed	действительно
independent	независимый
indicate	указывать
indirect	косвенный
individual	индивидуальный
indoor	в помещении
indoors	в помещении
industrial	промышленный
industry	промышленность
infection	инфекция
influence	влияние
inform	сообщать
informal	неформальный
information	информация
ingredient	ингредиент
initial	первоначальный
initially	первоначально
initiative	инициатива
injure	ранить
injured	раненый
injury	травма
inner	внутренний
innocent	невинный
insect	насекомое
inside	внутри
insight	проницательность
insist	настаивать
inspire	внушать
install	устанавливать
instance	пример
instead	вместо
institute	учреждение
institution	учреждение
instruction	инструкция
instructor	инструктор
instrument	инструмент
insurance	страхование
intelligence	интеллект
intelligent	умный
intend	намереваться
intended	предназначенный
intense	интенсивный
intention	намерение
interest	интерес
interested	заинтересованный
interesting	интересный
internal	внутренний
international	международный
internet	интернет
interpret	интерпретировать
interrupt	прерывать
interview	интервью
into	в
introduce	вводить
introduction	вступление
invent	изобретать
invention	изобретение
invest	вложить
investigate	исследовать
investigation	расследование
investment	инвестиции
invitation	приглашение
invite	приглашать
involve	вовлекать
involved	вовлеченный
iron	железо
island	остров
issue	вопрос
IT	ИТ
it	оно
item	пункт
its	его
itself	сам
jacket	куртка
jam	варенье
January	Январь
jazz	джаз
jeans	джинсы
jewellery	ювелирные изделия
job	работа
join	присоединиться
joke	шутка
journal	журнал
journalist	журналист
journey	путешествие
joy	радость
judge	судья
judgement	суждение
juice	сок
July	Июль
jump	прыгать
June	Июнь
junior	младший
just	просто
justice	справедливость
justify	оправдывать
keen	проницательный
keep	держать
key	ключ
keyboard	клавиатура
kick	пинать
kid	ребенок
kill	убивать
killing	убийство
kilometre	километр
kind	вид
kind	добрый
king	король
kiss	целовать
kitchen	кухня
knee	колено
knife	нож
knock	стучать
know	знать
knowledge	знания
lab	лаборатория
label	этикетка
laboratory	лаборатория
labour	труд
lack	отсутствие
lady	леди
lake	озеро
lamp	лампа
land	земля
landscape	пейзаж
language	язык
laptop	ноутбук
large	большой
largely	значительно
last	последний
last	длиться
late	поздний
later	позже
latest	самый последний
laugh	смеяться
laughter	смех
launch	запуск
law	закон
lawyer	юрист
lay	класть
layer	слой
lazy	ленивый
lead	вести
leader	лидер
leadership	руководство
leading	ведущий
leaf	лист
league	лига
lean	опираться
learn	учить
learning	познающий
least	наименьший
leather	кожа
leave	покидать
lecture	лекция
left	левый
leg	нога
legal	законный
leisure	досуг
lemon	лимон
lend	одалживать
length	длина
less	меньше
lesson	урок
let	позволять
letter	письмо
level	уровень
library	библиотека
licence	лицензия
lie	ложь
lie	лгать
life	жизнь
lifestyle	образ жизни
lift	поднимать
light	свет
light	легкий
like	нравиться
like	подобный
likely	скорее всего
limit	предел
limited	ограниченный
line	линия
link	ссылка
lion	лев
lip	губа
liquid	жидкость
list	список
listen	слушать
listener	слушатель
literature	литература
little	маленький
live	живой
live	жить
lively	оживленный
living	живущий
load	загружать
loan	кредит
local	местный
locate	разместить
located	расположенный
location	местоположение
lock	замок
logical	логический
lonely	одинокий
long	длинный
long-term	долгосрочный
look	смотреть
loose	свободный
lord	господин
lorry	грузовик
lose	терять
loss	потеря
lost	потерянный
lot	много
loud	громкий
loudly	громко
love	любовь
lovely	прекрасный
low	низкий
lower	ниже
luck	удача
lucky	удачливый
lunch	обед
lung	легкое
luxury	роскошь
machine	машина
mad	безумный
magazine	журнал
magic	магия
mail	почта
main	главный
mainly	в основном
maintain	поддерживать
major	главный
majority	большинство
make	делать
male	мужчина
mall	торговый центр
man	мужчина
manage	управлять
management	управление
manager	менеджер
manner	манера
many	много
map	карта
March	Март
mark	отметка
market	рынок
marketing	маркетинг
marriage	брак
married	состоящий в браке
marry	жениться
mass	масса
massive	массивный
master	мастер
match	соответствовать
matching	соответствие
material	материал
mathematics	математика
maths	математика
matter	дело
maximum	максимальный
May	Май
may	мочь
maybe	может быть
me	мне
meal	еда
mean	означать
meaning	значение
means	означает
meanwhile	между тем
measure	мера
measurement	измерение
meat	мясо
media	средства массовой информации
medical	медицинский
medicine	препарат
medium	средний
meet	встречать
meeting	встреча
melt	плавиться
member	член
memory	память
mental	умственный
mention	упоминать
menu	меню
mess	беспорядок
message	сообщение
metal	металл
method	метод
metre	метр
middle	средний
midnight	полночь
might	вероятно
mild	мягкий
mile	миля
military	военный
milk	молоко
million	миллион
mind	ум
mine	мой
mine	шахта
mineral	минерал
minimum	минимальный
minister	министр
minor	незначительный
minority	меньшинство
minute	минута
mirror	зеркало
miss	мисс
missing	потерянный
mission	миссия
mistake	ошибка
mix	смесь
mixed	смешанный
mixture	смесь
mobile	мобильный
model	модель
modern	современный
modify	модифицировать
moment	момент
Monday	Понедельник
money	деньги
monitor	монитор
monkey	обезьяна
month	месяц
mood	настроение
moon	луна
moral	моральный
more	больше
morning	утро
most	наибольший
mostly	в основном
mother	мама
motor	двигатель
motorcycle	мотоцикл
mount	монтировать
mountain	гора
mouse	мышь
mouth	рот
move	двигаться
movement	движение
movie	кино
much	много
mud	грязь
multiple	множественный
multiply	умножать
mum	мама
murder	убийство
muscle	мускул
museum	музей
music	музыка
musical	музыкальный
musician	музыкант
must	должен
my	мой
myself	себя
mysterious	таинственный
mystery	тайна
nail	ноготь
name	имя
narrative	повествовательный
narrow	узкий
nation	нация
national	национальный
native	родной
natural	естественный
naturally	естественно
nature	природа
near	рядом
nearly	приблизительно
neat	аккуратный
necessarily	обязательно
necessary	необходимый
neck	шея
need	необходимость
needle	игла
negative	отрицательный
neighbour	сосед
neighbourhood	окрестности
neither	ни
nerve	нерв
nervous	нервный
net	сеть
network	сеть
never	никогда
nevertheless	тем не менее
new	новый
news	новости
newspaper	газета
next	следующий
next to	рядом с
nice	милый
night	ночь
nightmare	ночной кошмар
nine	девять
nineteen	девятнадцать
ninety	девяносто
no	нет
noone	никто
nobody	никто
noise	шум
noisy	шумный
none	никто
nor	ни
normal	обычный
normally	обычно
north	север
northern	северный
nose	нос
not	нет
note	записка
nothing	ничего
notice	уведомление
notion	понятие
novel	роман
November	Ноябрь
now	сейчас
nowhere	нигде
nuclear	ядерный
number	номер
numerous	многочисленный
nurse	медсестра
nut	орех
obey	подчиняться
object	объект
objective	цель
obligation	обязательство
observation	наблюдение
observe	наблюдать
obtain	получать
obvious	очевидный
obviously	очевидно
occasion	случай
occasionally	периодически
occur	происходить
ocean	океан
o'clock	часов
October	Октябрь
odd	странный
of	от
off	прочь
offence	преступление
offend	обижать
offensive	агрессивный
offer	предложение
office	офис
officer	офицер
official	официальный
often	часто
oh	о
oil	масло
OK	ОК
old	старый
old-fashioned	старомодный
on	на
once	однажды
one	один
onion	лук
online	онлайн
only	только
onto	на
open	открывать
opening	открытие
operate	работать
operation	операция
opinion	мнение
opponent	противник
opportunity	возможность
oppose	противопоставлять
opposed	противоположный
opposite	противоположный
opposition	возражение
option	вариант
or	или
orange	оранжевый
order	приказ
ordinary	обычный
organ	орган
organization	организация
organize	организовать
organized	организованный
organizer	организатор
origin	происхождение
original	оригинал
originally	первоначально
other	другой
otherwise	иначе
ought	должен
our	наш
ours	наш
ourselves	сами
out	из
outcome	исход
outdoor	на открытом воздухе
outdoors	на улице
outer	внешний
outline	контур
outside	снаружи
oven	духовка
over	над
overall	в целом
owe	быть должным
own	собственный
owner	владелец
pace	темп
pack	упаковка
package	пакет
page	страница
pain	боль
painful	болезненный
paint	красить
painter	художник
painting	картина
pair	пара
palace	дворец
pale	бледный
pan	кастрюля
panel	панель
pants	штаны
paper	бумага
paragraph	параграф
parent	родитель
park	парк
parking	парковка
parliament	парламент
part	часть
participant	участник
participate	участвовать
particular	определенный
particularly	в частности
partly	частично
partner	партнер
party	вечеринка
pass	проходить
