abolish	упразднять
bargain	сделка
barrel	бочка
basement	подвал
basket	корзина
bass1	бас1
bat	летучая мышь
battlefield	поле битвы
bay	залив
beam	луч
beast	зверь
behalf	от имени
beloved	возлюбленный
bench	скамейка
benchmark	показатель
beneath	под
beneficial	выгодный
beneficiary	выгодоприобретатель
beside	рядом
besides	кроме того
betray	предавать
bias	предвзятость
bid	заявка
bind	связывать
biography	биография
biological	биологический
bishop	епископ
bizarre	странный
blade	лезвие
blanket	одеяло
blast	взрыв
bleed	кровоточить
blend	смесь
bless	благословить
blessing	благословение
blow	дуть
boast	хвастовство
bold	жирный
bombing	бомбардировка
bonus	бонус
booking	бронирование
boom	бум
boost	повышать
bounce	подпрыгивать
bound	связанный
boundary	граница
bow1	бантом1
breach	нарушение
breakdown	разрушение
breakthrough	прорыв
breed	разводить
brick	кирпич
briefly	кратко
broadband	широкополосный
broadcaster	передатчик
broadly	широко
browser	браузер
brutal	грубый
buck	бакс
buddy	дружище
buffer	буфер
bug	жук
bulk	большая часть
burden	бремя
bureaucracy	бюрократия
burial	захоронение
burst	взрыв
cabin	кабина
cabinet	кабинет
calculation	расчет
canal	канал
candle	свеча
canvas	холст
capability	способность
capitalism	капитализм
capitalist	капиталист
carbon	углерод
cargo	груз
carriage	коляска
carve	вырезать
casino	казино
casual	повседневная
casualty	несчастный случай
catalogue	каталог
cater	обслуживать
cattle	крупный рогатый скот
caution	осторожность
cautious	осторожный
cave	пещера
cease	прекращение
cemetery	кладбище
certainty	определенность
certificate	сертификат
challenging	вызывающий
chamber	камера
championship	чемпионат
chaos	хаос
characterize	характеризовать
charm	очарование
charming	очаровательный
charter	чартер
chase	преследовать
cheek	щека
cheer	ободрить
choir	хор
chop	рубить
chronic	хронический
chunk	кусок
circuit	схема
circulate	циркулировать
circulation	циркуляция
citizenship	гражданство
civic	гражданский
civilian	гражданский
civilization	цивилизация
clarify	уточнить
clarity	ясность
clash	столкновение
classification	классификация
classify	классифицировать
clerk	служащий
cliff	утес
cling	цепляться
clinic	клиника
clinical	клинический
clip	зажим
closure	закрытие
cluster	скопление
coalition	коалиция
coastal	береговой
cocktail	коктейль
cognitive	мыслительный
coincide	совпадать
coincidence	совпадение
collaborate	сотрудничать
collaboration	сотрудничество
collective	общий
collector	сборщик
collision	столкновение
colonial	колониальный
colony	колония
colourful	красочный
columnist	обозреватель
combat	бой
comic	комический
commander	командир
commence	начинать
commentary	комментарий
commentator	комментатор
commerce	коммерция
commissioner	уполномоченный
commodity	товар
communist	коммунист
companion	компаньон
comparable	сравнимый
comparative	сравнительный
compassion	сострадание
compel	принуждать
compelling	неотразимый
compensate	компенсировать
compensation	компенсация
competence	компетенция
competent	компетентный
compile	компилировать
complement	дополнение
completion	завершение
complexity	сложность
compliance	соответствие
complication	усложнение
comply	соблюдать
compose	составить
composer	композитор
composition	композиция
compound	соединение
comprehensive	комплексный
comprise	включать
compromise	компромисс
compulsory	обязательный
compute	вычислять
conceal	скрывать
concede	уступать
conceive	воспринимать
conception	концепция
concession	уступка
concrete	бетон
condemn	осуждать
confer	совещаться
confess	исповедоваться
confession	признание
configuration	конфигурация
confine	ограничивать
confirmation	подтверждение
confront	противостоять
confrontation	конфронтация
confusion	путаница
congratulate	поздравлять
congregation	конгрегация
congressional	в Конгрессе
conquer	завоевывать
conscience	совесть
consciousness	сознание
consecutive	последовательный
consensus	соглашение
consent	согласие
consequently	вследствие
conservation	сохранение
conserve	сохранять
considerable	значительный
considerably	значительно
consistency	консистенция
consistently	последовательно
consolidate	консолидировать
conspiracy	заговор
constituency	избирательный округ
constitute	составлять
constitution	конституция
constitutional	Конституционный
constraint	ограничение
consult	советоваться
consultant	консультант
consultation	консультация
consumption	потребление
contemplate	созерцать
contempt	презрение
contend	бороться
contender	претендент
content2	content2
contention	раздор
continually	непрерывно
contractor	подрядчик
contradiction	противоречие
contrary	противоположность
contributor	участник
controversial	спорный
controversy	разногласия
convenience	удобство
convention	соглашение
conventional	обычный
conversion	преобразование
convey	передавать
convict	осуждать
conviction	убеждение
convincing	убедительный
cooperate	сотрудничать
cooperative	кооператив
coordinate	координировать
coordination	координация
coordinator	координатор
cop	полицейский
cope	справляться
copper	медь
copyright	авторское право
corporation	корпорация
correction	правка
correlate	соотносить
correlation	взаимосвязь
correspond	соответствовать
correspondence	переписка
correspondent	корреспондент
corresponding	соответствующий
corridor	коридор
corrupt	продажный
corruption	коррупция
costly	дорогостоящий
councillor	советник
counselling	консультирование
counsellor	советник
counter	счетчик
counter	счетчик
counterpart	копия
countless	бесчисленный
coup	переворот
courtesy	вежливость
coverage	покрытие
crack	трещина
craft	ремесло
crawl	ползать
creativity	креативность
creator	создатель
credibility	доверие
credible	убедительный
creep	ползать
critically	критически
critique	критика
crown	корона
crude	сырой
cruise	круиз
crush	раздавить
crystal	кристалл
cue	знак
cult	культ
cultivate	культивировать
curiosity	любопытство
curious	любопытный
curriculum	учебный план
custody	опека
cute	милый
cutting	резка
cynical	циничный
dairy	молочный
dam	дамба
damaging	повреждающий
dare	осмеливаться
darkness	темнота
database	база данных
dawn	рассвет
deadline	крайний срок
deadly	смертоносный
dealer	дилер
debris	развалины
debut	дебют
decision-making	принятие решений
decisive	решающий
deck	палуба
declaration	декларация
dedicated	посвященный
dedication	преданность
deed	поступок
deem	считать
default	по умолчанию
defect	дефект
defender	защитник
defensive	оборонительный
deficiency	дефицит
deficit	дефицит
defy	игнорировать
delegate	делегат
delegation	делегация
delete	удалить
delicate	нежный
democracy	демократия
democratic	демократический
demon	демон
demonstration	демонстрация
denial	отказ
denounce	денонсировать
dense	плотный
density	плотность
depart	уезжать
dependence	зависимость
dependent	зависимый
depict	изображать
deploy	развертывать
deployment	развертывание
deposit	депозит
depression	депрессия
deprive	лишать
deputy	заместитель
derive	выводить
descend	спускаться
descent	спуск
designate	назначать
desirable	желательный
desktop	рабочий стол
desperately	отчаянно
destruction	разрушение
destructive	разрушительный
detain	задерживать
detection	обнаружение
detention	задержание
deteriorate	ухудшаться
determination	определение
devastate	опустошать
devil	дьявол
devise	разрабатывать
devote	посвятить
diagnose	диагностировать
diagnosis	диагноз
dictate	диктовать
dictator	диктатор
differ	отличаться
differentiate	дифференцировать
dignity	достоинство
dilemma	дилемма
dimension	измерение
diminish	уменьшать
dip	макать
diplomat	дипломат
diplomatic	дипломатический
directory	каталог
disability	инвалидность
disabled	отключенный
disagreement	разногласие
disappoint	разочаровывать
disappointment	разочарование
disastrous	гибельный
discard	отбрасывать
discharge	разряд
disclose	раскрывать
disclosure	раскрытие
discourage	отговаривать
discourse	рассуждение
discretion	осмотрительность
discrimination	дискриминация
dismissal	роспуск
disorder	расстройство
displace	переместить
disposal	удаление
dispose	располагать
dispute	спор
disrupt	срывать
disruption	нарушение
dissolve	растворять
distant	отдаленный
distinct	отчетливый
distinction	различие
distinctive	отличительный
distinguish	различать
distort	искажать
distract	отвлекать
distress	горе
disturb	беспокоить
disturbing	беспокоящий
dive	нырять
diverse	разнообразный
diversity	разнообразие
divert	отвлечь
divine	божественный
divorce	расторжение брака
doctrine	учение
documentation	документация
domain	домен
dominance	господство
dominant	доминирующий
donation	пожертвование
donor	донор
dose	доза
dot	точка
downtown	в центре города
drain	истощать
dramatically	драматично
drift	дрейф
driving	вождение
drought	засуха
drown	тонуть
dual	двойной
dub	дублировать
dull	скучный
dumb	тупой
dump	свалка
duo	пара
duration	продолжительность
dynamic	динамический
eager	жаждущий
earnings	прибыль
ease	легкость
echo	эхо
ecological	экологический
economics	экономика
economist	экономист
editorial	редакционный
educator	воспитатель
effectiveness	эффективность
efficiency	эффективность
efficiently	продуктивно
ego	эго
elaborate	разрабатывать
elbow	локоть
electoral	избирательный
electronics	электроника
elegant	элегантный
elementary	начальный
elevate	возвысить
eligible	право
eliminate	устранить
elite	элита
embark	начинать
embarrassment	смущение
embassy	посольство
embed	встроить
embody	воплощать
embrace	обнять
emergence	появление
emission	излучение
emotionally	эмоционально
empire	империя
empirical	эмпирический
empower	уполномочивать
enact	предписывать
encompass	охватывать
encouragement	поощрение
encouraging	обнадеживающий
endeavour	стремление
endless	бесконечный
endorse	одобрять
endorsement	поддержка
endure	терпеть
enforce	принуждать
enforcement	принуждение
engagement	помолвка
engaging	обаятельный
enjoyable	приятный
enquire	спрашивать
enrich	обогащать
enrol	регистрировать
ensue	последует
enterprise	предприятие
entertaining	развлекательный
enthusiast	энтузиаст
entitle	давать право
entity	сущность
entrepreneur	предприниматель
envelope	конверт
epidemic	эпидемия
equality	равенство
equation	уравнение
equip	оборудовать
equivalent	эквивалент
era	эра
erect	возводить
erupt	извергаться
escalate	обострять
essence	сущность
essentially	по существу
establishment	учреждение
eternal	вечный
ethic	этичный
ethnic	этнический
evacuate	эвакуировать
evaluation	оценка
evident	очевидный
evoke	вызывать
evolution	эволюция
evolutionary	эволюционный
evolve	развиваться
exaggerate	преувеличивать
exceed	превышать
excellence	превосходство
exception	исключение
exceptional	исключительный
excess	избыток
excessive	чрезмерный
exclude	исключать
exclusion	исключение
exclusive	эксклюзивный
exclusively	исключительно
execute	выполнять
execution	исполнение
exert	оказывать
exhibit	экспонат
exile	ссыльный
exit	выход
exotic	экзотический
expansion	расширение
expenditure	расходование
experimental	экспериментальный
expertise	экспертиза
expire	истекать
explicit	явный
explicitly	явно
exploit	эксплуатировать
exploitation	эксплуатация
explosive	взрывчатый
exposure	воздействие
extension	расширение
extensive	обширный
extensively	широко
extract	извлекать
extremist	экстремист
fabric	ткань
fabulous	потрясающий
facilitate	содействовать
faction	фракция
faculty	факультет
fade	увядать
failed	провалившийся
fairness	справедливость
fake	подделка
fame	слава
fantasy	фантазия
fare	плата за проезд
fatal	роковой
fate	судьба
favourable	благоприятный
feat	подвиг
federal	федеральный
feminist	феминистка
fever	лихорадка
fibre	волокно
fierce	свирепый
film-maker	режиссер
filter	фильтр
fine	хорошо
firearm	огнестрельное оружие
firefighter	пожарный
firework	фейерверк
firm	твердый
firmly	твердо
fit	подходить
fixture	приспособление
flavour	аромат
flaw	недостаток
flawed	недостатки
flee	бежать
fleet	флот
flesh	плоть
flexibility	гибкость
flourish	процветать
fluid	жидкость
fond	любящий
fool	дурак
footage	метраж
forbid	запретить
forecast	прогноз
foreigner	иностранец
forge	ковать
format	формат
formation	образование
formerly	прежде
formula	формула
formulate	формулировать
forth	вперед
forthcoming	предстоящий
fortunate	удачливый
forum	форум
fossil	ископаемое
foster	способствовать
foundation	основа
founder	основатель
fraction	крупица
fragile	хрупкий
fragment	фрагмент
framework	рамки
franchise	франшиза
frankly	откровенно
fraud	мошенничество
freely	свободно
frequent	частый
frustrated	несостоявшийся
frustrating	разочаровывающий
frustration	разочарование
fulfil	выполнять
full-time	полную ставку
functional	функциональная
fundraising	сбор средств
fundamentally	принципиально
funeral	похороны
furious	яростный
gallon	галлон
gambling	азартная игра
gaming	игровой
gathering	сбор
gay	гомосексуал
gaze	пристальный взгляд
gear	механизм
gender	пол
gene	ген
generic	общий
genetic	генетический
genius	гений
genocide	геноцид
genuine	подлинный
genuinely	искренне
gesture	жест
gig	гиг
glance	взгляд
glimpse	проблеск
globalization	глобализация
globe	земной шар
glorious	славный
glory	слава
golden	золотой
goodness	доброта
gorgeous	великолепный
governance	управление
governor	губернатор
grace	грация
graphic	графический
graphics	графика
grasp	схватывание
grave	могила
grave	могила
gravity	гравитация
greatly	значительно
greenhouse	теплица
grid	сетка
grief	горе
grin	скалить зубы
grind	молоть
grip	захват
grocery	бакалея
gross	валовой
guerrilla	партизан
guidance	руководство
guideline	директива
guilt	чувство вины
gut	кишка
habitat	среда обитания
hail	град
halfway	на полпути
halt	остановка
handful	горсть
handling	обращение
handy	удобный
harassment	издевательство
harbour	гавань
hardware	оборудование
harmony	гармония
harsh	суровый
harvest	сбор урожая
hatred	ненависть
haunt	преследовать
hazard	опасность
headquarters	штаб-квартира
heal	лечить
healthcare	здравоохранение
heighten	повысить
helmet	шлем
hence	следовательно
herb	трава
heritage	наследие
hidden	скрытый
hierarchy	иерархия
high-profile	громкий профиль
highway	шоссе
hilarious	веселый
hint	подсказка
hip	бедро
historian	историк
homeland	родина
homeless	бездомный
honesty	честность
hook	крюк
hopeful	обнадеживающий
hopefully	с надеждой
horizon	горизонт
horn	рог
hostage	заложник
hostile	враждебный
hostility	враждебность
humanitarian	гуманитарный
humanity	человечество
humble	скромный
hunger	голод
hydrogen	водород
hypothesis	гипотеза
icon	икона
ID	ИДЕНТИФИКАТОР
identical	идентичный
identification	идентификация
ideological	идеологическая
ideology	идеология
idiot	идиот
ignorance	невежество
illusion	иллюзия
imagery	образность
immense	огромный
immigration	иммиграция
imminent	неизбежный
immune	иммунный
implement	осуществлять
implementation	реализация
implication	вовлечение
imprison	сажать в тюрьму
imprisonment	лишение свободы
inability	неспособность
inadequate	неадекватный
inappropriate	несоответствующий
incentive	стимул
incidence	случай
inclined	наклоненный
inclusion	включение
incorporate	объединять
incorrect	неправильный
incur	брать
independence	независимость
index	индекс
indication	индикация
indicator	показатель
indictment	обвинительный акт
indigenous	коренной
induce	вызывать
indulge	баловать
inequality	неравенство
inevitable	неизбежный
inevitably	неизбежно
infamous	позорный
infant	младенец
infect	заразить
infer	делать вывод
inflation	инфляция
inflict	причинить
influential	влиятельный
info	информация
infrastructure	инфраструктура
inhabitant	житель
inherent	свойственный
inherit	наследовать
inhibit	подавлять
initiate	инициировать
inject	впрыскивать
injection	инъекция
injustice	несправедливость
ink	чернила
inmate	заключенный
innovation	инновация
innovative	инновационный
input	вход
insert	вставлять
insertion	вставка
insider	инсайдер
inspect	проверить
inspection	осмотр
inspector	инспектор
inspiration	вдохновение
installation	установка
instant	моментальный
instantly	немедленно
instinct	инстинкт
institutional	институциональный
instruct	инструктировать
instrumental	инструментальный
insufficient	недостаточный
insult	оскорбление
intact	нетронутый
intake	потребление
integral	составной
integrate	интегрировать
integrated	интегрированный
integration	интеграция
integrity	целостность
intellectual	интеллектуальный
intensify	усилить
intensity	интенсивность
intensive	интенсивный
intent	намерение
interact	взаимодействовать
interaction	взаимодействие
interactive	интерактивный
interface	интерфейс
interfere	вмешиваться
interference	вмешательство
interim	промежуточный
interior	интерьер
intermediate	промежуточный
interpretation	толкование
interval	интервал
intervene	вмешиваться
intervention	вмешательство
intimate	интимный
intriguing	интригующий
invade	вторгаться
invasion	вторжение
investigator	следователь
investor	инвестор
invisible	невидимый
invoke	взывать
involvement	участие
ironic	ироничный
ironically	по иронии судьбы
irony	ирония
irrelevant	неуместный
isolate	изолировать
isolated	изолированный
isolation	изоляция
jail	тюрьма
jet	самолет
joint	совместный
journalism	журналистика
judicial	судебный
junction	соединение
jurisdiction	юрисдикция
jury	присяжные
just	просто
justification	обоснование
kidnap	похищать
kidney	почка
kingdom	царство
kit	комплект
lad	парень
ladder	лестница
landing	посадка
landlord	домовладелец
landmark	ориентир
lane	переулок
lap	круг
large-scale	крупномасштабный
laser	лазер
lately	недавно
latter	последний
lawn	лужайка
lawsuit	судебный процесс
layout	расположение
leaflet	листовка
leak	утечка
leap	прыгать
legacy	наследие
legend	легенда
legendary	легендарный
legislation	законодательство
legislative	законодательный
legislature	законодательная власть
legitimate	законный
lengthy	длинный
lens	объектив
lesbian	лесбийский
lesser	меньший
lethal	смертельный
liable	ответственный
liberal	либеральный
liberation	освобождение
liberty	свобода
license	лицензия
lifelong	пожизненный
lifetime	продолжительность жизни
lighting	освещение
likelihood	вероятность
likewise	также
limb	конечность
limitation	ограничение
linear	линейный
line-up	состав команды
linger	задерживаться
listing	перечисление
literacy	грамотность
literally	буквально
literary	литературный
litre	литр
litter	мусор
liver	печень
lobby	холл
log	бревно
logic	логика
logo	логотип
long-standing	давние отношения
long-time	долгое время
loom	ткацкий станок
loop	петля
lottery	лотерея
loyal	верный
loyalty	лояльность
lyric	лирический
machinery	механическое оборудование
magical	волшебный
magistrate	магистрат
magnetic	притягательный
magnificent	великолепный
magnitude	величина
mainland	материк
mainstream	общепринятый
maintenance	обслуживание
make-up	макияж
making	изготовление
mandate	мандат
mandatory	обязательный
manifest	манифест
manipulate	манипулировать
manipulation	манипуляция
manufacture	производство
manufacturing	производство
manuscript	рукопись
marathon	марафон
march	март
margin	прибыль
marginal	маргинальный
marine	морской
marker	маркер
marketplace	рыночная площадь
martial	боевые
mask	маска
massacre	резня
mate	приятель
mathematical	математические
mature	зрелый
maximize	максимизировать
mayor	мэр
meaningful	значимый
meantime	тем временем
mechanic	механик
mechanical	механический
mechanism	механизм
medal	медаль
medication	лечение
medieval	средневековый
meditation	медитация
melody	мелодия
membership	членство
memo	меморандум
memoir	мемуары
memorable	памятный
memorial	мемориал
mentor	наставник
merchant	торговец
mercy	милость
mere	простой
merely	просто
merge	поглощать
merger	слияние
merit	заслуга
metaphor	метафора
methodology	методология
midst	среди
migration	миграция
militant	воинствующий
militia	милиция
mill	мельница
miner	шахтер
minimal	минимальный
minimize	минимизировать
mining	добыча полезных ископаемых
ministry	министерство
minute2	minute2
miracle	чудо
miserable	несчастный
misery	нищета
misleading	вводящий в заблуждение
missile	ракета
mob	толпа
mobility	мобильность
mobilize	мобилизация
mode	режим
moderate	умеренный
modest	скромный
modification	модификация
momentum	импульс
monk	монах
monopoly	монополия
monster	монстр
monthly	ежемесячно
monument	памятник
morality	мораль
moreover	более того
mortgage	ипотека
mosque	мечеть
motion	движение
motivate	мотивировать
motivation	мотивация
motive	мотив
motorist	автомобилист
moving	движущийся
municipal	муниципальный
mutual	взаимный
myth	миф
naked	обнаженный
namely	именно
nasty	противный
nationwide	общенациональный
naval	флотский
navigation	навигация
nearby	поблизости
necessity	необходимость
neglect	пренебрегать
negotiate	вести переговоры
negotiation	переговоры
neighbouring	соседний
nest	гнездо
net	сеть
neutral	нейтральный
newly	вновь
newsletter	новостная рассылка
niche	ниша
noble	благородный
nod	кивать
nominate	назначить
nomination	назначение
nominee	номинант
nonetheless	тем не менее
non-profit	некоммерческий
nonsense	ерунда
noon	полдень
norm	норма
notable	примечательный
notably	особенно
notebook	блокнот
notify	уведомлять
notorious	пресловутый
novel	роман
novelist	романист
nowadays	в наше время
nursery	питомник
nursing	уход
nutrition	питание
obesity	ожирение
objection	возражение
oblige	обязывать
observer	наблюдатель
obsess	преследовать
obsession	одержимость
obstacle	препятствие
occasional	случайный
occupation	занятость
occupy	занимать
occurrence	происшествие
odds	шансы
offender	правонарушитель
offering	предложение
offspring	отпрыск
ongoing	текущий
openly	открыто
opera	опера
operational	оперативный
operator	оператор
opt	выбирать
optical	оптический
optimism	оптимизм
optimistic	оптимистичный
oral	устный
orchestra	оркестр
organic	органический
organizational	организационная
orientation	ориентация
originate	происходить
outbreak	вспышка
outfit	снаряжение
outing	вылазка
outlet	выход
outlook	прогноз
output	выход
outrage	безобразие
outsider	аутсайдер
outstanding	выдающийся
overcome	преодолеть
overlook	упускать из виду
overly	чрезмерно
overnight	заночевать
overseas	за рубежом
oversee	осуществлять контроль
overturn	переворот
overwhelm	потрясать
overwhelming	подавляющий
ownership	владение
oxygen	кислород
packet	пакет
pad	подушечка
palm	ладонь
panic	паника
parade	парад
parallel	параллель
parameter	параметр
parental	родительский
parish	приход
parliamentary	парламентская
partial	частичный
partially	частично
participation	участие
partnership	сотрудничество
part-time	частичная занятость
passing	проходящий
passionate	страстный
passive	пассивный
password	пароль
pastor	пастор
patch	заплатка
patent	патент
pathway	путь
patience	терпение
patrol	патруль
patron	покровитель
pause	пауза
peak	пик
peasant	крестьянин
peculiar	своеобразный
peer	равный
penalty	штраф
perceive	воспринимать
perception	восприятие
permanently	постоянно
persist	настаивать
persistent	стойкий
personnel	персонал
petition	петиция
philosopher	философ
philosophical	философский
physician	врач
pill	таблетка
pioneer	пионер
pipeline	трубопровод
pirate	пират
pit	яма
pity	жалость
placement	размещение
plea	просьба
plead	умолять
pledge	залог
plug	штекер
plunge	погружение
pole	полюс
poll	опрос
pond	пруд
pop	хлопок
portfolio	портфолио
portion	порция
portray	изображать
postpone	откладывать
post-war	послевоенный период
potentially	потенциально
practitioner	практикующий врач
preach	проповедовать
precede	предшествовать
precedent	прецедент
precious	драгоценный
precise	точный
precisely	точно
precision	точность
predator	хищник
predecessor	предшественник
predictable	предсказуемый
predominantly	преимущественно
preference	предпочтение
pregnancy	беременность
prejudice	предубеждение
preliminary	предварительный
premier	премьер
premise	предпосылка
premium	высший сорт
prescribe	предписывать
prescription	рецепт
presently	в настоящее время
preservation	сохранение
preside	председательствовать
presidency	президенты
presidential	президентский
prestigious	престижный
presumably	предположительно
presume	предполагать
prevail	преобладать
prevalence	распространенность
prevention	профилактика
prey	добыча
pride	гордость
primarily	преимущественно
principal	главный
prior	предварительный
privatization	приватизация
privilege	привилегия
probability	вероятность
probable	вероятный
probe	зонд
problematic	проблематично
proceed	продолжить
proceedings	производство
proceeds	вырученные средства
processing	обработка
processor	процессор
proclaim	провозглашать
productive	продуктивный
productivity	производительность
profitable	рентабельный
profound	глубокий
programming	программирование
progressive	прогрессивный
prohibit	запрещать
projection	проекция
prominent	видный
promising	многообещающий
promotion	продвижение
prompt	срочный
pronounced	произнесенный
propaganda	пропаганда
proportion	пропорция
proposition	предложение
prosecute	преследовать в судебном порядке
prosecution	судебное преследование
prosecutor	прокурор
prospective	перспективный
prosperity	процветание
protective	защитный
protein	белок
protester	протестующий
protocol	протокол
province	провинция
provincial	провинциальный
provision	обеспечение
provoke	провоцировать
psychiatric	психиатрическая
psychological	психологический
publicity	публичность
publishing	издательский
pulse	пульс
pump	насос
punch	удар кулаком
punk	панк
purely	чисто
pursuit	преследование
puzzle	головоломка
query	запрос
quest	поиск
questionnaire	опросник
quota	квота
racial	расовый
racism	расизм
racist	расист
radar	радар
radiation	излучение
radical	радикальный
rage	ярость
raid	налет
rail	рельс
rally	ралли
random	случайный
ranking	ранжирование
rape	изнасиловать
rat	крыса
rating	рейтинг
ratio	соотношение
rational	рациональный
ray	луч
readily	охотно
realization	осуществление
realm	область
rear	задний
reassure	заверить
reasonably	разумно
reasoning	рассуждения
rebel	бунтарь
rebellion	восстание
rebuild	перестраивать
receiver	приемник
recession	спад
recipient	получатель
reckon	рассчитывать
recognition	распознавание
reconstruction	реконструкция
recount1	пересчет1
recovery	восстановление
recruit	набирать
recruitment	набор персонала
referee	судья
referendum	референдум
reflection	отражение
reform	реформа
refuge	убежище
refugee	беженец
refusal	отказ
regain	восстановить
regardless	несмотря на
regime	режим
registration	регистрация
regulate	регулировать
regulator	регулятор
regulatory	нормативный
rehabilitation	реабилитация
reign	царствовать
reinforce	усиливать
rejection	отказ
relevance	актуальность
reliability	надежность
relieve	освобождать
relieved	облегченный
reluctant	неохотный
remainder	остаток
remains	остатки
remarkable	замечательный
remarkably	замечательно
remedy	средство
reminder	напоминание
removal	удаление
render	оказывать
renew	возобновлять
renowned	прославленный
rental	аренда
replacement	замена
reportedly	по сообщениям
reporting	отчет
representation	представление
reproduce	воспроизводить
reproduction	воспроизведение
republic	республика
resemble	походить
reside	проживать
residence	резиденция
residential	жилой
residue	остаток
resign	уходить в отставку
resignation	отставка
resistance	сопротивление
resolution	разрешение
respective	соответствующий
respectively	соответственно
restoration	восстановление
restore	восстановить
restraint	сдержанность
restrict	ограничивать
restriction	ограничение
resume	возобновиться
retail	розничная торговля
retirement	отставка
retreat	отступление
retrieve	извлекать
revelation	открытие
revenge	месть
revenue	доход
reverse	обратный
revision	пересмотр
revival	возрождение
revive	возрождать
revolutionary	революционер
rhetoric	риторический
ridiculous	нелепый
rifle	винтовка
riot	бунт
rip	разрыв
risky	рискованный
ritual	ритуал
rival	соперник
rob	грабить
robbery	грабеж
robust	крепкий
rock	рок
rocket	ракета
rod	стержень
romance	романтика
rose	роза
rotate	вращать
rotation	вращение
roughly	грубо
ruin	разрушать
ruling	правящий
rumour	слух
sack	мешок
sacred	священный
sacrifice	жертвовать
saint	святой
sake	сакэ
sanction	санкция
satisfaction	удовлетворение
say	сказать
scandal	скандал
scare	пугать
scattered	разбросанный
scenario	сценарий
sceptical	скептически
scholar	ученый
scholarship	ученость
scope	масштаб
scratch	царапина
screening	скрининг
screw	винт
scrutiny	исследование
seal	печать
secular	светский
seeker	искатель
seemingly	по-видимому
segment	сегмент
seize	схватить
seldom	редко
selective	выборочный
seminar	семинар
senator	сенатор
sensation	чувство
sensitivity	чувствительность
sentiment	настроение
separation	разделение
serial	серийный
settlement	поселок
settler	поселенец
set-up	настройка
severely	сильно
sexuality	сексуальность
sexy	сексуальный
shaped	сформированный
shareholder	акционер
shatter	раздробить
shed	сарай
sheer	отвесный
shipping	доставка
shocking	шокирующий
shoot	стрелять
shore	берег
short-term	краткосрочный
shortage	нехватка
shortly	кратко
shrink	сокращаться
shrug	пожимание плечами
sibling	родной брат
sigh	вздыхать
signature	подпись
significance	значимость
simulate	имитировать
simulation	моделирование
simultaneously	одновременно
sin	грех
situated	расположенный
sketch	набросок
skilled	умелый
skip	пропускать
skull	череп
slam	захлопывать
slap	шлепок
slash	косая черта
